period,subba,subba-name,parent,parent-name,timezone,value,value-units
2025-10-27,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,284767,megawatthours
2025-10-27,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,285599,megawatthours
2025-10-27,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52558,megawatthours
2025-10-27,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52423,megawatthours
2025-10-27,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52299,megawatthours
2025-10-27,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52505,megawatthours
2025-10-27,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52558,megawatthours
2025-10-27,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1958,megawatthours
2025-10-27,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1955,megawatthours
2025-10-27,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1953,megawatthours
2025-10-27,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1956,megawatthours
2025-10-27,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1958,megawatthours
2025-10-26,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,236847,megawatthours
2025-10-26,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,236179,megawatthours
2025-10-26,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,236062,megawatthours
2025-10-26,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,236605,megawatthours
2025-10-26,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,236847,megawatthours
2025-10-26,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,256363,megawatthours
2025-10-26,SCE,Southern California Edison,CISO,California Independent System Operator,Central,256254,megawatthours
2025-10-26,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,256233,megawatthours
2025-10-26,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,256288,megawatthours
2025-10-26,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,256363,megawatthours
2025-10-26,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,48275,megawatthours
2025-10-26,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,48251,megawatthours
2025-10-26,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,48208,megawatthours
2025-10-26,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,48263,megawatthours
2025-10-26,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,48275,megawatthours
2025-10-26,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1914,megawatthours
2025-10-26,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1913,megawatthours
2025-10-26,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1911,megawatthours
2025-10-26,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1914,megawatthours
2025-10-26,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1914,megawatthours
2025-10-25,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,244709,megawatthours
2025-10-25,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,245834,megawatthours
2025-10-25,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,246447,megawatthours
2025-10-25,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,245224,megawatthours
2025-10-25,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,244709,megawatthours
2025-10-25,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,270032,megawatthours
2025-10-25,SCE,Southern California Edison,CISO,California Independent System Operator,Central,272137,megawatthours
2025-10-25,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,273158,megawatthours
2025-10-25,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,271034,megawatthours
2025-10-25,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,270032,megawatthours
2025-10-25,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,50177,megawatthours
2025-10-25,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,50372,megawatthours
2025-10-25,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,50476,megawatthours
2025-10-25,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,50268,megawatthours
2025-10-25,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,50177,megawatthours
2025-10-25,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1882,megawatthours
2025-10-25,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1884,megawatthours
2025-10-25,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1886,megawatthours
2025-10-25,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1883,megawatthours
2025-10-25,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1882,megawatthours
2025-10-24,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,249942,megawatthours
2025-10-24,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,249794,megawatthours
2025-10-24,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,249875,megawatthours
2025-10-24,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,249797,megawatthours
2025-10-24,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,249942,megawatthours
2025-10-24,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,289440,megawatthours
2025-10-24,SCE,Southern California Edison,CISO,California Independent System Operator,Central,288915,megawatthours
2025-10-24,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,288735,megawatthours
2025-10-24,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,289184,megawatthours
2025-10-24,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,289440,megawatthours
2025-10-24,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52419,megawatthours
2025-10-24,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52337,megawatthours
2025-10-24,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52349,megawatthours
2025-10-24,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52368,megawatthours
2025-10-24,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52419,megawatthours
2025-10-24,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1920,megawatthours
2025-10-24,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1922,megawatthours
2025-10-24,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1924,megawatthours
2025-10-24,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1921,megawatthours
2025-10-24,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1920,megawatthours
2025-10-23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Arizona,255001,megawatthours
2025-10-23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Central,255438,megawatthours
2025-10-23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Eastern,255484,megawatthours
2025-10-23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Mountain,255370,megawatthours
2025-10-23,PGAE,Pacific Gas and Electric,CISO,California Independent System Operator,Pacific,255001,megawatthours
2025-10-23,SCE,Southern California Edison,CISO,California Independent System Operator,Arizona,286569,megawatthours
2025-10-23,SCE,Southern California Edison,CISO,California Independent System Operator,Central,287059,megawatthours
2025-10-23,SCE,Southern California Edison,CISO,California Independent System Operator,Eastern,287037,megawatthours
2025-10-23,SCE,Southern California Edison,CISO,California Independent System Operator,Mountain,286595,megawatthours
2025-10-23,SCE,Southern California Edison,CISO,California Independent System Operator,Pacific,286569,megawatthours
2025-10-23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Arizona,52425,megawatthours
2025-10-23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Central,52454,megawatthours
2025-10-23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Eastern,52498,megawatthours
2025-10-23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Mountain,52450,megawatthours
2025-10-23,SDGE,San Diego Gas and Electric,CISO,California Independent System Operator,Pacific,52425,megawatthours
2025-10-23,VEA,Valley Electric Association,CISO,California Independent System Operator,Arizona,1968,megawatthours
2025-10-23,VEA,Valley Electric Association,CISO,California Independent System Operator,Central,1972,megawatthours
2025-10-23,VEA,Valley Electric Association,CISO,California Independent System Operator,Eastern,1973,megawatthours
2025-10-23,VEA,Valley Electric Association,CISO,California Independent System Operator,Mountain,1970,megawatthours
2025-10-23,VEA,Valley Electric Association,CISO,California Independent System Operator,Pacific,1968,megawatthours
